Experiment Type,List Size,Cycle Start,Cycle Length,Steps,Execution Time (microseconds)
Random Offset,100,28,10,50,0
Random Offset,100,53,50,50,0
Random Offset,100,13,100,50,0
Random Offset,1000,343,10,500,0
Random Offset,1000,472,50,500,0
Random Offset,1000,62,100,500,0
Random Offset,10000,4478,10,5000,0
Random Offset,10000,1257,50,5000,0
Random Offset,10000,4790,100,5000,0
