

Experiment Type,List Size,Cycle Start,Cycle Length,Steps,Execution Time (microseconds)
Random Offset,10000,1956,300,5000,0
Random Offset,10000,7914,400,5000,0
Random Offset,20000,10350,200,10000,0
Random Offset,20000,8431,300,10000,0
Random Offset,20000,6690,400,10000,0
Random Offset,30000,306,200,15000,0
Random Offset,30000,9112,300,15000,0
Random Offset,30000,17497,400,15000,0
Random Offset,10000,9096,200,5000,0
Random Offset,10000,1956,300,5000,15623
Random Offset,10000,7914,400,5000,0
Random Offset,20000,10350,200,10000,0
Random Offset,20000,8431,300,10000,0
Random Offset,20000,6690,400,10000,0
Random Offset,30000,306,200,15000,0
Random Offset,30000,9112,300,15000,0
Random Offset,30000,17497,400,15000,0
Random Offset,10000,9099,200,5000,0
Random Offset,10000,9936,300,5000,0
Random Offset,10000,3010,400,5000,0
Random Offset,20000,1645,200,10000,0
Random Offset,20000,5978,300,10000,0
Random Offset,20000,10617,400,10000,0
Random Offset,30000,3418,200,15000,0
Random Offset,30000,6185,300,15000,0
Random Offset,30000,1240,400,15000,0
Random Offset,10000,9099,200,5000,0
Random Offset,10000,9936,300,5000,0
Random Offset,10000,3010,400,5000,0
Random Offset,20000,1645,200,10000,0
Random Offset,20000,5978,300,10000,0
Random Offset,20000,10617,400,10000,0
Random Offset,30000,3418,200,15000,0
Random Offset,30000,6185,300,15000,0
Random Offset,30000,1240,400,15000,0
Random Offset,10000,9099,200,5000,0
Random Offset,10000,9936,300,5000,0
Random Offset,10000,3010,400,5000,0
Random Offset,20000,1645,200,10000,0
Random Offset,20000,5978,300,10000,0
Random Offset,20000,10617,400,10000,0
Random Offset,30000,3418,200,15000,0
Random Offset,30000,6185,300,15000,0
Random Offset,30000,1240,400,15000,0




Fixed Offset,100000,25000,1000,50000,0
Fixed Offset,100000,25000,2000,50000,0
Fixed Offset,100000,25000,5000,50000,0
Fixed Offset,200000,25000,1000,100000,0
Fixed Offset,200000,25000,2000,100000,0
Fixed Offset,200000,25000,5000,100000,0
Fixed Offset,300000,25000,1000,150000,15630
Fixed Offset,300000,25000,2000,150000,0
Fixed Offset,300000,25000,5000,150000,0
Fixed Offset,100000,50000,1000,50000,0
Fixed Offset,100000,50000,2000,50000,0
Fixed Offset,100000,50000,5000,50000,0
Fixed Offset,200000,50000,1000,100000,0
Fixed Offset,200000,50000,2000,100000,0
Fixed Offset,200000,50000,5000,100000,0
Fixed Offset,300000,50000,1000,150000,0
Fixed Offset,300000,50000,2000,150000,0
Fixed Offset,300000,50000,5000,150000,0
Fixed Offset,100000,100000,1000,50000,0
Fixed Offset,100000,100000,2000,50000,0
Fixed Offset,100000,100000,5000,50000,0
Fixed Offset,200000,100000,1000,100000,0
Fixed Offset,200000,100000,2000,100000,0
Fixed Offset,200000,100000,5000,100000,0
Fixed Offset,300000,100000,1000,150000,0
Fixed Offset,300000,100000,2000,150000,0
Fixed Offset,300000,100000,5000,150000,0


Random Offset,100000,20037,1000,50000,0
Random Offset,100000,14537,2000,50000,0
Random Offset,100000,18219,5000,50000,0
Random Offset,200000,26536,1000,100000,0
Random Offset,200000,17140,2000,100000,0
Random Offset,200000,23477,5000,100000,0
Random Offset,300000,11955,1000,150000,0
Random Offset,300000,18025,2000,150000,0
Random Offset,300000,21475,5000,150000,0
Random Offset,100000,20040,1000,50000,0
Random Offset,100000,25285,2000,50000,0
Random Offset,100000,3315,5000,50000,0
Random Offset,200000,17831,1000,100000,0
Random Offset,200000,27455,2000,100000,0
Random Offset,200000,27403,5000,100000,0
Random Offset,300000,15068,1000,150000,0
Random Offset,300000,15098,2000,150000,0
Random Offset,300000,5218,5000,150000,15622
Random Offset,100000,20040,1000,50000,0
Random Offset,100000,25285,2000,50000,0
Random Offset,100000,3315,5000,50000,0
Random Offset,200000,17831,1000,100000,0
Random Offset,200000,27455,2000,100000,0
Random Offset,200000,27403,5000,100000,0
Random Offset,300000,15068,1000,150000,0
Random Offset,300000,15098,2000,150000,0
Random Offset,300000,5218,5000,150000,0
Random Offset,100000,20040,1000,50000,0
Random Offset,100000,25285,2000,50000,0
Random Offset,100000,3315,5000,50000,0
Random Offset,200000,17831,1000,100000,0
Random Offset,200000,27455,2000,100000,0
Random Offset,200000,27403,5000,100000,0
Random Offset,300000,15068,1000,150000,0
Random Offset,300000,15098,2000,150000,0
Random Offset,300000,5218,5000,150000,0
Random Offset,100000,20043,1000,50000,0
Random Offset,100000,3265,2000,50000,0
Random Offset,100000,21179,5000,50000,0
Random Offset,200000,9127,1000,100000,0
Random Offset,200000,5002,2000,100000,0
Random Offset,200000,31330,5000,100000,0
Random Offset,300000,18180,1000,150000,0
Random Offset,300000,12170,2000,150000,0
Random Offset,300000,21730,5000,150000,0


        


Fixed Offset,33,10,9,16,0
Fixed Offset,33,10,15,16,0
Fixed Offset,33,10,21,16,0
Fixed Offset,199,10,9,99,0
Fixed Offset,199,10,15,99,0
Fixed Offset,199,10,21,99,0
Fixed Offset,301,10,9,150,0
Fixed Offset,301,10,15,150,0
Fixed Offset,301,10,21,150,0
Fixed Offset,33,20,9,16,0
Fixed Offset,33,20,15,16,0
Fixed Offset,33,20,21,16,0
Fixed Offset,199,20,9,99,0
Fixed Offset,199,20,15,99,0
Fixed Offset,199,20,21,99,0
Fixed Offset,301,20,9,150,0
Fixed Offset,301,20,15,150,0
Fixed Offset,301,20,21,150,0
Fixed Offset,33,30,9,16,0
Fixed Offset,33,30,15,16,0
Fixed Offset,33,30,21,16,0
Fixed Offset,199,30,9,99,0
Fixed Offset,199,30,15,99,0
Fixed Offset,199,30,21,99,0
Fixed Offset,301,30,9,150,0
Fixed Offset,301,30,15,150,0
Fixed Offset,301,30,21,150,0



Random Offset,33,16,9,16,0
Random Offset,33,16,15,16,0
Random Offset,33,14,21,16,0
Random Offset,199,55,9,99,0
Random Offset,199,1,15,99,0
Random Offset,199,53,21,99,0
Random Offset,301,241,9,150,0
Random Offset,301,79,15,150,0
Random Offset,301,171,21,150,0
Random Offset,33,16,9,16,0
Random Offset,33,16,15,16,0
Random Offset,33,14,21,16,0
Random Offset,199,55,9,99,0
Random Offset,199,1,15,99,0
Random Offset,199,53,21,99,0
Random Offset,301,241,9,150,0
Random Offset,301,79,15,150,0
Random Offset,301,171,21,150,0
Random Offset,33,16,9,16,0
Random Offset,33,16,15,16,0
Random Offset,33,14,21,16,0
Random Offset,199,55,9,99,0
Random Offset,199,1,15,99,0
Random Offset,199,53,21,99,0
Random Offset,301,241,9,150,0
Random Offset,301,79,15,150,0
Random Offset,301,171,21,150,0
Random Offset,33,16,9,16,0
Random Offset,33,16,15,16,0
Random Offset,33,14,21,16,0
Random Offset,199,55,9,99,0
Random Offset,199,1,15,99,0
Random Offset,199,53,21,99,0
Random Offset,301,241,9,150,0
Random Offset,301,79,15,150,0
Random Offset,301,171,21,150,0
Random Offset,33,16,9,16,0
Random Offset,33,16,15,16,0
Random Offset,33,14,21,16,0
Random Offset,199,55,9,99,0
Random Offset,199,1,15,99,0
Random Offset,199,53,21,99,0
Random Offset,301,241,9,150,0
Random Offset,301,79,15,150,0
Random Offset,301,171,21,150,0






Fixed Offset,355,100,49,177,0
Fixed Offset,355,100,75,177,0
Fixed Offset,355,100,101,177,0
Fixed Offset,2001,100,49,1000,0
Fixed Offset,2001,100,75,1000,0
Fixed Offset,2001,100,101,1000,0
Fixed Offset,3001,100,49,1500,0
Fixed Offset,3001,100,75,1500,0
Fixed Offset,3001,100,101,1500,0
Fixed Offset,355,300,49,177,0
Fixed Offset,355,300,75,177,0
Fixed Offset,355,300,101,177,0
Fixed Offset,2001,300,49,1000,0
Fixed Offset,2001,300,75,1000,0
Fixed Offset,2001,300,101,1000,0
Fixed Offset,3001,300,49,1500,0
Fixed Offset,3001,300,75,1500,0
Fixed Offset,3001,300,101,1500,0
Fixed Offset,355,350,49,177,0
Fixed Offset,355,350,75,177,0
Fixed Offset,355,350,101,177,0
Fixed Offset,2001,350,49,1000,0
Fixed Offset,2001,350,75,1000,51
Fixed Offset,2001,350,101,1000,0
Fixed Offset,3001,350,49,1500,0
Fixed Offset,3001,350,75,1500,0
Fixed Offset,3001,350,101,1500,0



Random Offset,355,313,49,177,0
Random Offset,355,9,75,177,0
Random Offset,355,120,101,177,0
Random Offset,2001,716,49,1000,0
Random Offset,2001,532,75,1000,0
Random Offset,2001,1748,101,1000,0
Random Offset,3001,2335,49,1500,0
Random Offset,3001,392,75,1500,0
Random Offset,3001,2232,101,1500,0
Random Offset,355,313,49,177,0
Random Offset,355,9,75,177,0
Random Offset,355,120,101,177,0
Random Offset,2001,716,49,1000,0
Random Offset,2001,532,75,1000,0
Random Offset,2001,1748,101,1000,0
Random Offset,3001,2335,49,1500,0
Random Offset,3001,392,75,1500,0
Random Offset,3001,2232,101,1500,0
Random Offset,355,313,49,177,0
Random Offset,355,9,75,177,0
Random Offset,355,120,101,177,0
Random Offset,2001,716,49,1000,0
Random Offset,2001,532,75,1000,0
Random Offset,2001,1748,101,1000,0
Random Offset,3001,2335,49,1500,0
Random Offset,3001,392,75,1500,0
Random Offset,3001,2232,101,1500,0
Random Offset,355,313,49,177,0
Random Offset,355,9,75,177,0
Random Offset,355,120,101,177,0
Random Offset,2001,716,49,1000,0
Random Offset,2001,532,75,1000,0
Random Offset,2001,1748,101,1000,0
Random Offset,3001,2335,49,1500,0
Random Offset,3001,392,75,1500,0
Random Offset,3001,2232,101,1500,0
Random Offset,355,313,49,177,0
Random Offset,355,9,75,177,0
Random Offset,355,120,101,177,0
Random Offset,2001,716,49,1000,0
Random Offset,2001,532,75,1000,0
Random Offset,2001,1748,101,1000,0
Random Offset,3001,2335,49,1500,0
